,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,train_runtime,train_samples_per_second,total_flos
0,1.6254,4.913882190837064e-07,0.17,500,,,,,,,
1,1.6231,4.82776438167413e-07,0.34,1000,,,,,,,
2,1.6181,4.7416465725111955e-07,0.52,1500,,,,,,,
3,1.6289,4.65552876334826e-07,0.69,2000,,,,,,,
4,1.6223,4.5694109541853255e-07,0.86,2500,,,,,,,
5,,,1.0,2903,1.6051040887832642,0.2404528707265854,76.3971,145.673,,,
6,1.6193,4.48329314502239e-07,1.03,3000,,,,,,,
7,1.6329,4.3971753358594554e-07,1.21,3500,,,,,,,
8,1.6751,4.3110575266965207e-07,1.38,4000,,,,,,,
9,1.6361,4.224939717533586e-07,1.55,4500,,,,,,,
10,1.63,4.138821908370651e-07,1.72,5000,,,,,,,
11,1.6387,4.052704099207716e-07,1.89,5500,,,,,,,
12,,,2.0,5806,1.6132670640945435,0.25644710659980774,76.3628,145.738,,,
13,1.6356,3.966586290044781e-07,2.07,6000,,,,,,,
14,1.6328,3.880468480881846e-07,2.24,6500,,,,,,,
15,1.6381,3.794350671718911e-07,2.41,7000,,,,,,,
16,1.6304,3.708232862555977e-07,2.58,7500,,,,,,,
17,1.6091,3.6221150533930416e-07,2.76,8000,,,,,,,
18,1.5785,3.535997244230107e-07,2.93,8500,,,,,,,
19,,,3.0,8709,1.3503395318984985,0.5193638205528259,76.3621,145.74,,,
20,1.5372,3.4498794350671716e-07,3.1,9000,,,,,,,
21,1.4527,3.363761625904237e-07,3.27,9500,,,,,,,
22,1.352,3.2776438167413015e-07,3.44,10000,,,,,,,
23,1.2793,3.1915260075783673e-07,3.62,10500,,,,,,,
24,1.2267,3.1054081984154325e-07,3.79,11000,,,,,,,
25,1.2037,3.019290389252497e-07,3.96,11500,,,,,,,
26,,,4.0,11612,1.0409961938858032,0.6713091731071472,76.3007,145.857,,,
27,1.159,2.9331725800895625e-07,4.13,12000,,,,,,,
28,1.1003,2.847054770926627e-07,4.31,12500,,,,,,,
29,1.0753,2.7609369617636925e-07,4.48,13000,,,,,,,
30,1.012,2.6748191526007577e-07,4.65,13500,,,,,,,
31,1.0222,2.588701343437823e-07,4.82,14000,,,,,,,
32,0.9343,2.502583534274888e-07,4.99,14500,,,,,,,
33,,,5.0,14515,0.842261791229248,0.7120136618614197,76.3158,145.828,,,
34,0.9497,2.416465725111953e-07,5.17,15000,,,,,,,
35,0.9354,2.330347915949018e-07,5.34,15500,,,,,,,
36,0.9363,2.2442301067860834e-07,5.51,16000,,,,,,,
37,0.9236,2.1581122976231484e-07,5.68,16500,,,,,,,
38,0.9085,2.0719944884602134e-07,5.86,17000,,,,,,,
39,,,6.0,17418,0.7981398105621338,0.7315122485160828,76.3343,145.793,,,
40,0.8368,1.9858766792972786e-07,6.03,17500,,,,,,,
41,0.8509,1.8997588701343436e-07,6.2,18000,,,,,,,
42,0.8882,1.8136410609714086e-07,6.37,18500,,,,,,,
43,0.813,1.727523251808474e-07,6.54,19000,,,,,,,
44,0.8583,1.641405442645539e-07,6.72,19500,,,,,,,
45,0.8761,1.555287633482604e-07,6.89,20000,,,,,,,
46,,,7.0,20321,0.7207620143890381,0.7409470677375793,76.4297,145.611,,,
47,0.8513,1.4691698243196693e-07,7.06,20500,,,,,,,
48,0.8375,1.3830520151567343e-07,7.23,21000,,,,,,,
49,0.8183,1.2969342059937993e-07,7.41,21500,,,,,,,
50,0.8076,1.2108163968308645e-07,7.58,22000,,,,,,,
51,0.8221,1.1246985876679296e-07,7.75,22500,,,,,,,
52,0.8143,1.0385807785049947e-07,7.92,23000,,,,,,,
53,,,8.0,23224,0.7249438166618347,0.7474166750907898,76.356,145.752,,,
54,0.8332,9.5246296934206e-08,8.1,23500,,,,,,,
55,0.8162,8.66345160179125e-08,8.27,24000,,,,,,,
56,0.8013,7.802273510161901e-08,8.44,24500,,,,,,,
57,0.7874,6.941095418532553e-08,8.61,25000,,,,,,,
58,0.7988,6.079917326903203e-08,8.78,25500,,,,,,,
59,0.775,5.218739235273854e-08,8.96,26000,,,,,,,
60,,,9.0,26127,0.7140730619430542,0.751550018787384,76.3005,145.857,,,
61,0.7915,4.357561143644505e-08,9.13,26500,,,,,,,
62,0.7863,3.4963830520151564e-08,9.3,27000,,,,,,,
63,0.7553,2.6352049603858076e-08,9.47,27500,,,,,,,
64,0.8301,1.7740268687564587e-08,9.65,28000,,,,,,,
65,0.7857,9.128487771271098e-09,9.82,28500,,,,,,,
66,0.7468,5.167068549776094e-10,9.99,29000,,,,,,,
67,,,10.0,29030,0.7123149633407593,0.7525384426116943,76.3419,145.778,,,
68,,,10.0,29030,,,,,4965.498,5.846,44135807509800.0
