,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
64,0.4474,7.451334964365493e-06,17.87,24000,,,,,,,,,,,,,
65,,,18.0,24174,1.2063359022140503,0.6415557356175483,0.6201812516088334,0.6095275616552369,0.6415557356175483,30.6204,1410.659,44.088,,,,,
66,0.4421,6.564904442789774e-06,18.24,24500,,,,,,,,,,,,,
67,0.443,5.678473921214056e-06,18.62,25000,,,,,,,,,,,,,
68,0.4445,4.792043399638336e-06,18.99,25500,,,,,,,,,,,,,
69,,,19.0,25517,1.1813466548919678,0.6311610140062507,0.6253604965401477,0.6204658720709667,0.6311610140062507,28.2223,1530.526,47.834,,,,,
70,0.4345,3.905612878062618e-06,19.36,26000,,,,,,,,,,,,,
71,0.4414,3.0191823564868985e-06,19.73,26500,,,,,,,,,,,,,
72,,,20.0,26860,1.2364622354507446,0.6322722537330709,0.6236894245027362,0.6173560265756152,0.6322722537330709,30.881,1398.758,43.716,,,,,
73,0.4385,2.1327518349111797e-06,20.1,27000,,,,,,,,,,,,,
74,0.4324,1.2463213133354608e-06,20.48,27500,,,,,,,,,,,,,
75,0.4345,3.598907917597419e-07,20.85,28000,,,,,,,,,,,,,
76,,,21.0,28203,1.2990297079086304,0.630188679245283,0.6241376333840905,0.6194106845055657,0.630188679245283,28.4875,1516.277,47.389,,,,,
77,,,21.0,28203,,,,,,,,,3280.9682,274.929,8.596,8663557790236128.0,0.5259685669875891
