,loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
66,0.5164,1.2797619047619047e-05,15.62,26000,,,,,,,,,,,,,
67,0.5197,1.2082188644688645e-05,15.93,26500,,,,,,,,,,,,,
68,,,16.0,26624,1.1022450923919678,0.6362182266674375,0.6121081084333944,0.6001498277640274,0.6362182266674375,41.1518,1260.964,39.415,,,,,
69,0.5016,1.1366758241758242e-05,16.23,27000,,,,,,,,,,,,,
70,0.5079,1.0651327838827839e-05,16.53,27500,,,,,,,,,,,,,
71,0.5166,9.935897435897435e-06,16.83,28000,,,,,,,,,,,,,
72,,,17.0,28288,1.0795940160751343,0.6262164922626274,0.614942630771118,0.606506588333667,0.6262164922626274,39.4731,1314.593,41.091,,,,,
73,0.5075,9.220467032967035e-06,17.13,28500,,,,,,,,,,,,,
74,0.5025,8.50503663003663e-06,17.43,29000,,,,,,,,,,,,,
75,0.505,7.789606227106227e-06,17.73,29500,,,,,,,,,,,,,
76,,,18.0,29952,1.1290943622589111,0.6353510242623962,0.6128075209776063,0.6016285588193894,0.6353510242623962,38.2102,1358.041,42.449,,,,,
77,0.5091,7.074175824175824e-06,18.03,30000,,,,,,,,,,,,,
78,0.497,6.358745421245421e-06,18.33,30500,,,,,,,,,,,,,
79,0.5007,5.643315018315019e-06,18.63,31000,,,,,,,,,,,,,
80,0.5044,4.927884615384615e-06,18.93,31500,,,,,,,,,,,,,
81,,,19.0,31616,1.1003012657165527,0.6381453431230849,0.6103200547182748,0.5989106287869365,0.6381453431230849,38.0425,1364.026,42.636,,,,,
82,0.4886,4.212454212454213e-06,19.23,32000,,,,,,,,,,,,,
83,0.5031,3.49702380952381e-06,19.53,32500,,,,,,,,,,,,,
84,0.4949,2.7815934065934065e-06,19.83,33000,,,,,,,,,,,,,
85,,,20.0,33280,1.175502896308899,0.6303405214777129,0.6121035120493585,0.6006951321626893,0.6303405214777129,37.9717,1366.57,42.716,,,,,
86,0.4953,2.0661630036630036e-06,20.13,33500,,,,,,,,,,,,,
87,0.4991,1.3507326007326008e-06,20.43,34000,,,,,,,,,,,,,
88,0.4889,6.353021978021978e-07,20.73,34500,,,,,,,,,,,,,
89,,,21.0,34944,1.2156351804733276,0.629935827022027,0.612617870917959,0.6014973563233504,0.629935827022027,40.9849,1266.101,39.576,,,,,
90,,,21.0,34944,,,,,,,,,4175.5357,267.729,8.369,1.0730384660487024e+16,0.5768444896180988
