,node0,node1,weight
279,joy,enchanted,2
280,joy,triumph,2
281,joy,reveled,2
282,joy,rejoicing,1
283,joy,exulted,1
284,joy,joyousness,0
285,joy,please,2
286,joy,joys,1
287,joy,joyed,1
288,curious,suspicious,2
289,curious,special,2
290,curious,funny,0
291,curious,drunk,2
292,curious,unique,2
293,curious,spoiled,2
294,curious,odd,0
295,curious,mirthful,2
296,curious,thwarted,2
297,curious,laughable,2
298,curious,baffled,2
299,curious,particular,2
300,tired,eager,2
301,tired,chill,2
302,tired,weary,1
303,tired,dull,2
304,tired,scare,2
305,tired,beat,2
306,positive,confident,1
307,positive,overconfident,1
308,positive,official,2
309,confused,confuse,1
310,confused,helpless,2
311,confused,lost,1
312,confused,distressed,2
313,confused,humiliated,2
314,confused,disturbed,2
315,confused,better,2
316,confused,isolated,2
317,confused,troubled,2
318,confused,disoriented,1
319,confused,bewildered,1
320,confused,crushed,2
321,confused,humbled,2
322,confused,doomed,2
323,confused,part,2
324,confused,disjointed,0
325,confused,broken,1
326,confused,low,2
327,confused,trouble,2
328,confused,preoccupied,2
329,confused,disturb,2
330,confused,unknown,2
331,confused,missed,2
332,confused,beat,2
333,confused,dark,2
334,confused,baffled,1
335,confused,alienated,2
336,confused,hidden,2
337,confused,discover,2
338,confused,dishearten,2
339,confused,vague,2
340,eager,bored,2
341,eager,boring,2
342,guilty,shame,2
343,guilty,sheepish,1
344,guilty,disgraced,2
345,guilty,shamed,1
346,guilty,disgrace,2
347,confident,overconfident,1
348,shocked,hurt,2
349,shocked,shock,1
350,shocked,dismayed,1
351,shocked,appalled,1
352,shocked,aghast,0
353,shocked,outrage,1
354,shocked,alarm,1
355,relaxed,free,2
356,relaxed,relax,1
357,relaxed,slow,2
358,relaxed,open,2
359,relaxed,loose,1
360,relaxed,escaped,2
361,relaxed,promiscuous,2
362,hungry,thirsty,1
363,fear,concerned,2
364,fear,interested,2
365,fear,fearful,2
366,fear,frightened,2
367,fear,caring,2
368,fear,awe,0
369,fear,concern,1
370,fear,worry,2
371,fear,cared,2
372,fear,terrible,2
373,fear,occupied,2
374,fear,touched,2
375,fear,dread,1
376,fear,awful,2
377,fear,respectful,1
378,fear,scare,2
379,fear,feared,1
380,fear,worries,2
381,fear,dreadful,2
382,fear,interesting,2
383,fear,apprehension,2
384,fear,awed,1
385,fear,fright,1
386,fear,frighten,2
387,fear,liking,2
388,fear,related,2
389,fear,caution,2
390,fear,attention,2
391,anger,furious,1
392,anger,enraged,1
393,anger,angered,0
394,anger,infuriated,1
395,anger,wrath,0
396,loved,love,1
397,loved,complete,2
398,loved,enjoy,1
399,loved,delight,2
400,loved,passion,2
401,loved,beloved,2
402,loved,thrill,2
403,disgusted,mad,2
404,disgusted,sick,1
405,disgusted,disgust,1
406,disgusted,disturbed,2
407,disgusted,ill,2
408,disgusted,nauseous,2
409,disgusted,crazy,2
410,disgusted,queasy,2
411,disgusted,cats,2
412,disgusted,grim,2
413,disgusted,nauseated,2
414,concerned,interested,1
415,concerned,concern,1
416,concerned,busy,2
417,concerned,worry,1
418,concerned,trouble,2
419,concerned,feeling,2
420,concerned,disturb,2
421,pleased,pleasure,2
422,pleased,enjoy,2
423,pleased,delight,0
424,pleased,please,1
425,bored,weary,2
426,interested,concern,0
427,interested,busy,2
428,interested,worry,1
429,interested,trouble,2
430,surprise,forced,2
431,surprise,rage,2
432,surprise,surprising,1
433,amused,entertained,0
434,amused,entertain,2
435,depressed,sorry,2
436,depressed,sick,2
437,depressed,down,1
438,depressed,humiliated,2
439,depressed,miserable,2
440,depressed,downhearted,1
441,depressed,listless,2
442,depressed,crushed,2
443,depressed,humbled,2
444,depressed,broken,2
445,depressed,humble,2
446,depressed,low,1
447,depressed,small,2
448,depressed,naughty,2
449,depressed,gloomy,1
450,depressed,dispirited,1
451,depressed,stern,2
452,depressed,relentless,2
453,depressed,blue,0
454,depressed,depression,2
455,depressed,downcast,1
456,depressed,consternation,2
457,depressed,sulky,2
458,depressed,grim,1
459,depressed,dark,2
460,depressed,alarm,2
461,depressed,unforgiving,2
462,good,powerful,2
463,good,love,2
464,good,safe,1
465,good,strong,2
466,good,healthy,2
467,good,full,1
468,good,secure,1
469,good,nice,2
470,good,intelligent,2
471,good,assured,2
472,good,better,1
473,good,broke,2
474,good,improved,2
475,good,efficient,2
476,good,serious,1
477,good,close,2
478,good,mature,2
479,good,secured,2
480,good,broken,2
481,good,honest,1
482,good,reliable,2
483,good,safer,1
484,good,right,1
485,good,fair,2
486,good,dangerous,2
487,good,heavy,2
488,good,well,1
489,good,tidy,2
490,good,gone,2
491,good,respectable,1
492,good,compensated,2
493,good,insured,2
494,good,safety,2
495,good,honorable,1
496,good,costly,2
497,good,grievous,2
498,good,going,2
499,good,stronger,2
500,good,closer,2
501,good,proficient,1
502,good,dependable,0
503,good,effective,1
504,good,beloved,2
505,good,grave,2
506,good,skillful,1
507,good,swollen,2
508,good,earnest,2
509,good,healthier,2
510,mad,sick,1
511,mad,distressed,2
512,mad,painful,2
513,mad,disturbed,1
514,mad,ill,2
515,mad,nauseous,2
516,mad,aroused,2
517,mad,crazy,1
518,mad,emotional,2
519,mad,sore,1
520,mad,tender,2
521,mad,frantic,1
522,mad,excite,2
523,mad,wild,2
524,mad,trouble,2
525,mad,disturb,2
526,mad,queasy,2
527,mad,frenzied,2
528,mad,cats,2
529,mad,grim,2
530,mad,feisty,1
531,mad,nauseated,2
532,mad,sensitive,2
533,mad,insane,1
534,irritated,pain,2
535,irritated,worry,2
536,irritated,pissed,1
537,irritated,annoyance,2
538,irritated,vexed,2
539,irritated,harried,2
540,irritated,trouble,2
541,irritated,disturb,2
542,irritated,miffed,1
543,irritated,soaked,2
544,irritated,beat,2
545,irritated,loaded,2
546,irritated,bother,1
547,irritated,besotted,2
548,irritated,wet,2
549,irritated,peeved,1
550,irritated,burn,2
551,irritated,stiff,2
552,hurt,pain,1
553,hurt,smart,1
554,hurt,lost,2
555,hurt,distressed,2
556,hurt,pained,1
557,hurt,offended,1
558,hurt,miserable,2
559,hurt,violated,2
560,hurt,shock,2
561,hurt,broke,2
562,hurt,wise,2
563,hurt,troubled,2
564,hurt,annoyance,2
565,hurt,injured,1
566,hurt,outraged,2
567,hurt,appalled,2
568,hurt,fresh,2
569,hurt,supported,2
570,hurt,broken,2
571,hurt,trouble,2
572,hurt,sassy,2
573,hurt,supporting,2
574,hurt,agony,2
575,hurt,yearning,2
576,hurt,losing,2
577,hurt,distress,1
578,hurt,outrage,2
579,hurt,tortured,2
580,hurt,aching,1
581,hurt,diminished,2
582,hurt,wiser,2
583,hurt,achy,2
584,hurt,bother,2
585,hurt,hurting,1
586,hurt,wrong,2
587,hurt,smarter,2
588,hurt,wounded,1
589,hurt,shocking,2
590,hurt,ache,0
591,elated,joyful,0
592,elated,gleeful,0
593,elated,triumphant,2
594,elated,jubilant,0
595,elated,prideful,2
596,elated,rejoicing,2
597,elated,elate,0
598,elated,discover,2
599,joyful,gleeful,1
600,joyful,triumphant,2
601,joyful,jubilant,1
602,joyful,prideful,2
603,joyful,rejoicing,2
604,joyful,elate,1
605,exhausted,free,2
606,exhausted,down,2
607,exhausted,fatigued,1
608,exhausted,empty,2
609,exhausted,dead,2
610,exhausted,weary,2
611,exhausted,complete,2
612,exhausted,spent,1
613,exhausted,beat,0
614,exhausted,going,2
615,exhausted,loss,2
616,exhausted,clear,2
617,exhausted,exclude,2
618,exhausted,worn-out,1
619,exhausted,loose,2
620,intrigued,intrigue,1
621,lucky,friendly,1
622,lucky,comfortable,2
623,lucky,fortunate,2
624,lucky,prosperous,1
625,calm,cool,1
626,calm,static,2
627,calm,serene,0
628,calm,tranquil,0
629,calm,serenity,2
630,calm,solemn,2
631,calm,steadfast,2
632,calm,steady,1
633,calm,calmed,1
634,calm,regular,2
635,calm,still,1
636,calm,restrained,2
637,calm,settled,2
638,calm,grave,2
639,calm,eased,2
640,calm,firm,2
641,calm,stiff,2
642,calm,unwavering,2
643,fearful,desperate,2
644,fearful,painful,2
645,fearful,horrible,2
646,fearful,terrible,1
647,fearful,amazing,2
648,fearful,awesome,2
649,fearful,dread,1
650,fearful,awful,0
651,fearful,ugly,2
